Name      Value           Min             Max             Stderr          
n_1       4.96866226e+00  -inf            inf             1.16046585e-01  
n_2       8.87265406e+00  -inf            inf             2.10779856e-01  
n_3       1.28666016e+01  -inf            inf             3.10309364e-01  
n_4       1.67859798e+01  -inf            inf             4.13383607e-01  
k_1       2.94773429e+01  -inf            inf             7.04853091e-01  
k_2       2.94773429e+01  -inf            inf             7.04853092e-01  
k_3       2.94773429e+01  -inf            inf             7.04853092e-01  
k_4       2.94773429e+01  -inf            inf             7.04853092e-01  
A_1       5.90438453e-01  -inf            inf             7.60581016e-04  
A_2       3.88166408e-01  -inf            inf             7.99391303e-04  
A_3       2.53341114e-01  -inf            inf             8.43605429e-04  
A_4       1.66824801e-01  -inf            inf             8.94770029e-04  
Chi2      7.63769297e-02  
