4.00000000e-03,1.14719726e-07,4.31424959e-14,9.62477214e-17,2.30111250e-17
1.40301508e-02,4.58335474e-05,3.89121056e-10,2.76016508e-16,-5.76701823e-17
2.40603015e-02,5.24398479e-04,3.57808364e-08,3.58833556e-13,4.20806512e-17
3.40904523e-02,2.32838113e-03,6.05261943e-07,2.41713200e-11,3.07396027e-16
4.41206030e-02,6.60632934e-03,4.58882036e-06,5.08206664e-10,2.09587186e-14
5.41507538e-02,1.44311090e-02,2.17451518e-05,5.40076685e-09,4.93364911e-13
6.41809045e-02,2.65637338e-02,7.56648496e-05,3.66432845e-08,6.47879261e-12
7.42110553e-02,4.33462017e-02,2.11620688e-04,1.80957014e-07,5.61948828e-11
8.42412060e-02,6.47000552e-02,5.03047912e-04,7.05267796e-07,3.57787241e-10
9.42713568e-02,9.01924047e-02,1.05460540e-03,2.28862766e-06,1.79308874e-09
1.04301508e-01,1.19134224e-01,2.00062933e-03,6.41818977e-06,7.42543621e-09
1.14331658e-01,1.50684897e-01,3.49887097e-03,1.59799676e-05,2.63181470e-08
1.24361809e-01,1.83946695e-01,5.72035901e-03,3.60426584e-05,8.19619814e-08
1.34391960e-01,2.18040837e-01,8.83684874e-03,7.47909721e-05,2.28847001e-07
1.44422111e-01,2.52162497e-01,1.30075609e-02,1.44523055e-04,5.81987740e-07
1.54452261e-01,2.85615717e-01,1.83668222e-02,2.62594303e-04,1.36519876e-06
1.64482412e-01,3.17831137e-01,2.50138983e-02,4.52174383e-04,2.98424816e-06
1.74512563e-01,3.48370251e-01,3.30058643e-02,7.42689012e-04,6.13035652e-06
1.84542714e-01,3.76919917e-01,4.23538963e-02,1.16984229e-03,1.19176547e-05
1.94572864e-01,4.03280494e-01,5.30229473e-02,1.77515504e-03,2.20551605e-05
2.04603015e-01,4.27350367e-01,6.49344462e-02,2.60500304e-03,3.90497997e-05
2.14633166e-01,4.49109005e-01,7.79714415e-02,3.70918975e-03,6.64324001e-05
2.24663317e-01,4.68600098e-01,9.19854963e-02,5.13913338e-03,1.08993994e-04
2.34693467e-01,4.85915811e-01,1.06804624e-01,6.94578433e-03,1.73015781e-04
2.44723618e-01,5.01182749e-01,1.22241596e-01,9.17741102e-03,2.66473326e-04
2.54753769e-01,5.14549962e-01,1.38102057e-01,1.18774008e-02,3.99194376e-04
2.64783920e-01,5.26179039e-01,1.54191996e-01,1.50822165e-02,5.82950444e-04
2.74814070e-01,5.36236213e-01,1.70324257e-01,1.88196323e-02,8.31464909e-04
2.84844221e-01,5.44886311e-01,1.86323886e-01,2.31073469e-02,1.16032477e-03
2.94874372e-01,5.52288301e-01,2.02032253e-01,2.79520398e-02,1.58678887e-03
3.04904523e-01,5.58592199e-01,2.17309923e-01,3.33489051e-02,2.12949206e-03
3.14934673e-01,5.63937094e-01,2.32038387e-01,3.92816632e-02,2.80805147e-03
3.24964824e-01,5.68450053e-01,2.46120749e-01,4.57230254e-02,3.64258762e-03
3.34994975e-01,5.72245717e-01,2.59481543e-01,5.26355583e-02,4.65317892e-03
3.45025126e-01,5.75426392e-01,2.72065836e-01,5.99728835e-02,5.85927223e-03
3.55055276e-01,5.78082522e-01,2.83837800e-01,6.76811312e-02,7.27907539e-03
3.65085427e-01,5.80293388e-01,2.94778890e-01,7.57005674e-02,8.92895835e-03
3.75115578e-01,5.82127967e-01,3.04885791e-01,8.39673100e-02,1.08228897e-02
3.85145729e-01,5.83645867e-01,3.14168254e-01,9.24150575e-02,1.29719324e-02
3.95175879e-01,5.84898283e-01,3.22646908e-01,1.00976762e-01,1.53838204e-02
4.05206030e-01,5.85928938e-01,3.30351150e-01,1.09586190e-01,1.80626320e-02
4.15236181e-01,5.86774985e-01,3.37317161e-01,1.18179323e-01,2.10085721e-02
4.25266332e-01,5.87467843e-01,3.43586091e-01,1.26695567e-01,2.42178695e-02
4.35296482e-01,5.88033966e-01,3.49202440e-01,1.35078756e-01,2.76827899e-02
4.45326633e-01,5.88495539e-01,3.54212652e-01,1.43277933e-01,3.13917605e-02
4.55356784e-01,5.88871095e-01,3.58663911e-01,1.51247907e-01,3.53295991e-02
4.65386935e-01,5.89176062e-01,3.62603156e-01,1.58949618e-01,3.94778329e-02
4.75417085e-01,5.89423241e-01,3.66076271e-01,1.66350290e-01,4.38150957e-02
4.85447236e-01,5.89623221e-01,3.69127468e-01,1.73423425e-01,4.83175834e-02
4.95477387e-01,5.89784734e-01,3.71798814e-01,1.80148641e-01,5.29595524e-02
