0.004,-0.054454721,-0.025690009,-0.017705117,-0.01202055,-0.007804336,-0.007072066,-0.01194414
0.008,-0.070646024,-0.035134679,-0.023194513,-0.01583566,-0.01422292,-0.009226571,-0.015615127
0.012,-0.085450089,-0.043507947,-0.02833558,-0.019385485,-0.017561079,-0.012596921,-0.021122887
0.016,-0.098706139,-0.052164502,-0.033718345,-0.022806607,-0.02107047,-0.014747646,-0.024471544
0.02,-0.108622925,-0.059006939,-0.038316301,-0.026104281,-0.024150897,-0.016517867,-0.027403218
0.024,-0.116478438,-0.064434764,-0.041877797,-0.028778141,-0.026101539,-0.019112092,-0.030373264
0.028,-0.12271379,-0.070267541,-0.04588999,-0.03157939,-0.028911877,-0.020577407,-0.032647485
0.032,-0.128841956,-0.074369735,-0.048605543,-0.033578218,-0.030640093,-0.021058706,-0.035520321
0.036,-0.133735419,-0.078186827,-0.051734826,-0.035917189,-0.032820223,-0.02277349,-0.036037073
0.04,-0.137194236,-0.081635284,-0.054537105,-0.03711097,-0.034730264,-0.02389232,-0.039025027
0.044,-0.14006559,-0.085570412,-0.056918545,-0.039734925,-0.036816834,-0.025740658,-0.03966713
0.048,-0.142021738,-0.08800921,-0.059689546,-0.041485542,-0.038356164,-0.026085883,-0.042846947
0.052,-0.145536209,-0.091448588,-0.061116988,-0.043274244,-0.038896342,-0.028264326,-0.044243713
0.056,-0.147146064,-0.09369853,-0.064281815,-0.044726744,-0.041194747,-0.029229443,-0.044798838
0.06,-0.150545104,-0.097321317,-0.065693617,-0.045986189,-0.042836464,-0.029921153,-0.047410739
0.064,-0.1525466,-0.098025899,-0.067840468,-0.047313926,-0.044049216,-0.030985805,-0.048211449
0.068,-0.154426482,-0.101612367,-0.070634217,-0.049672597,-0.045788024,-0.032206691,-0.050081478
0.072,-0.156974216,-0.10266924,-0.071846974,-0.050402786,-0.046171092,-0.032403243,-0.051925925
0.076,-0.158239837,-0.105335031,-0.074399024,-0.051215713,-0.047934614,-0.033969353,-0.053284319
0.08,-0.160276376,-0.10632653,-0.075871962,-0.053726725,-0.049392741,-0.035097003,-0.055231093
0.084,-0.160997821,-0.108463884,-0.07672075,-0.054164051,-0.050420138,-0.035214178,-0.056300412
0.088,-0.162867396,-0.109106724,-0.078991293,-0.055887089,-0.051798828,-0.035864309,-0.057500198
0.092,-0.163951626,-0.111102435,-0.080502619,-0.056521408,-0.052792685,-0.036834466,-0.056904142
0.096,-0.164532905,-0.111995874,-0.081280319,-0.058063211,-0.053264016,-0.036825646,-0.0598307
0.1,-0.164137141,-0.112918368,-0.082511559,-0.05892079,-0.05442381,-0.038142288,-0.061004904
0.104,-0.163085891,-0.114917711,-0.083442808,-0.05976261,-0.055892529,-0.038684064,-0.062967028
0.108,-0.162125338,-0.114812387,-0.083734268,-0.060456027,-0.056300311,-0.03923214,-0.061795381
0.112,-0.16141626,-0.115277266,-0.084435194,-0.061467261,-0.057117639,-0.039526967,-0.062437484
0.116,-0.159550807,-0.11614165,-0.084914325,-0.06127946,-0.057043497,-0.03990747,-0.063422384
0.12,-0.157015441,-0.115602318,-0.085721882,-0.062457482,-0.057973803,-0.04034089,-0.064862639
0.124,-0.155723023,-0.115693115,-0.085942254,-0.062802878,-0.058992374,-0.040400108,-0.065694047
0.128,-0.151957076,-0.114930423,-0.086518065,-0.063607925,-0.059375441,-0.040526102,-0.065947307
0.132,-0.149965886,-0.114995796,-0.086495317,-0.064173953,-0.059567858,-0.04125309,-0.066428244
0.136,-0.146597765,-0.11422584,-0.087236051,-0.063892909,-0.060160994,-0.04169911,-0.067605007
0.14,-0.144555043,-0.113183495,-0.086755498,-0.064532482,-0.060376359,-0.041605874,-0.068131992
0.144,-0.140980795,-0.111592737,-0.086808103,-0.065010519,-0.060600551,-0.042728485,-0.067817336
0.148,-0.138247547,-0.110494097,-0.086751233,-0.065663225,-0.06136492,-0.042274905,-0.06847223
0.152,-0.135285497,-0.108478411,-0.087041271,-0.065811627,-0.06166855,-0.042907397,-0.069004331
0.156,-0.131395874,-0.107038376,-0.087203351,-0.065655345,-0.062055148,-0.042751164,-0.070068534
0.16,-0.127986528,-0.105349558,-0.087139372,-0.065952149,-0.062026903,-0.043628085,-0.069866437
0.164,-0.124937904,-0.103738825,-0.086833694,-0.066269965,-0.062413501,-0.043660843,-0.070697846
0.168,-0.121035914,-0.100711664,-0.087027053,-0.066825487,-0.06289719,-0.043340817,-0.07084622
