-1.46E-01	0	4.00E-03	1	20
-2.03E-01	0	1.40E-02	1	20
-2.41E-01	0	2.41E-02	1	20
-2.73E-01	0	3.41E-02	1	20
-3.26E-01	0	4.41E-02	1	20
-3.56E-01	0	5.42E-02	1	20
-3.61E-01	0	6.42E-02	1	20
-3.87E-01	0	7.42E-02	1	20
-4.12E-01	0	8.42E-02	1	20
-4.07E-01	0	9.43E-02	1	20
-4.17E-01	0	1.04E-01	1	20
-4.13E-01	0	1.14E-01	1	20
-3.97E-01	0	1.24E-01	1	20
-4.06E-01	0	1.34E-01	1	20
-3.88E-01	0	1.44E-01	1	20
-3.60E-01	0	1.54E-01	1	20
-3.45E-01	0	1.64E-01	1	20
-3.13E-01	0	1.75E-01	1	20
-3.05E-01	0	1.85E-01	1	20
-2.91E-01	0	1.95E-01	1	20
-2.43E-01	0	2.05E-01	1	20
-2.41E-01	0	2.15E-01	1	20
-2.21E-01	0	2.25E-01	1	20
-2.19E-01	0	2.35E-01	1	20
-1.95E-01	0	2.45E-01	1	20
-1.73E-01	0	2.55E-01	1	20
-1.73E-01	0	2.65E-01	1	20
-1.45E-01	0	2.75E-01	1	20
-1.43E-01	0	2.85E-01	1	20
-1.30E-01	0	2.95E-01	1	20
-1.23E-01	0	3.05E-01	1	20
-8.97E-02	0	3.15E-01	1	20
-1.00E-01	0	3.25E-01	1	20
-1.03E-01	0	3.35E-01	1	20
-7.80E-02	0	3.45E-01	1	20
-9.24E-02	0	3.55E-01	1	20
-7.26E-02	0	3.65E-01	1	20
-8.93E-02	0	3.75E-01	1	20
-7.85E-02	0	3.85E-01	1	20
-5.91E-02	0	3.95E-01	1	20
-4.99E-02	0	4.05E-01	1	20
-5.22E-02	0	4.15E-01	1	20
-5.19E-02	0	4.25E-01	1	20
-5.09E-02	0	4.35E-01	1	20
-6.01E-02	0	4.45E-01	1	20
-5.01E-02	0	4.55E-01	1	20
-4.53E-02	0	4.65E-01	1	20
-2.82E-02	0	4.75E-01	1	20
-3.35E-02	0	4.85E-01	1	20
-5.29E-02	0	4.95E-01	1	20
-3.04E-02	0	5.06E-01	1	20
-3.61E-02	0	5.16E-01	1	20
-3.77E-02	0	5.26E-01	1	20
-2.36E-02	0	5.36E-01	1	20
-1.82E-02	0	5.46E-01	1	20
-1.82E-02	0	5.56E-01	1	20
-3.49E-02	0	5.66E-01	1	20
-2.87E-02	0	5.76E-01	1	20
